@relation BlackBoxAuditing
@attribute checking_status {"no checking",>=200,0<=X<200,<0}
@attribute duration numeric
@attribute credit_history {"no credits/all paid","all paid","delayed previously","critical/other existing credit","existing paid"}
@attribute purpose {repairs,education,"used car",business,retraining,furniture/equipment,"domestic appliance","new car",other,radio/tv}
@attribute credit_amount numeric
@attribute savings_status {500<=X<1000,<100,>=1000,100<=X<500,"no known savings"}
@attribute employment {>=7,4<=X<7,unemployed,1<=X<4,<1}
@attribute installment_commitment numeric
@attribute personal_status {"female div/dep/mar","male single","male mar/wid","male div/sep"}
@attribute other_parties {guarantor,"co applicant",none}
@attribute residence numeric
@attribute property_magnitude {"life insurance",car,"no known property","real estate"}
@attribute age_cat {old,young}
@attribute other_payment_plans {none,stores,bank}
@attribute housing {"for free",own,rent}
@attribute existing_credits numeric
@attribute job {"high qualif/self emp/mgmt",skilled,"unskilled resident","unemp/unskilled non res"}
@attribute num_dependents numeric
@attribute own_telephone {none,yes}
@attribute foreign_worker {yes,no}
@attribute class {bad,good}

@data
0<=X<200,24,"delayed previously",furniture/equipment,2333,"no known savings",<1,4,"male single",none,2,"life insurance",old,bank,own,1,"unskilled resident",1,none,yes,good
"no checking",6,"all paid","new car",783,"no known savings",1<=X<4,1,"male single",guarantor,2,"real estate",old,stores,own,1,"unskilled resident",2,none,yes,good
0<=X<200,12,"existing paid",radio/tv,6468,"no known savings",unemployed,2,"male single",none,1,"no known property",old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,bad
"no checking",36,"critical/other existing credit",radio/tv,9566,<100,1<=X<4,2,"female div/dep/mar",none,2,car,old,stores,own,2,skilled,1,none,yes,good
>=200,18,"existing paid","new car",1961,<100,>=7,3,"female div/dep/mar",none,2,car,young,none,own,1,"high qualif/self emp/mgmt",1,none,yes,good
<0,36,"critical/other existing credit",furniture/equipment,6229,<100,<1,4,"female div/dep/mar","co applicant",4,"no known property",young,none,rent,2,"unskilled resident",1,yes,yes,bad
0<=X<200,9,"existing paid",business,1391,<100,1<=X<4,2,"male mar/wid",none,1,"real estate",old,bank,own,1,skilled,1,yes,yes,good
0<=X<200,36,"no credits/all paid",business,1953,<100,>=7,4,"male single",none,4,"no known property",old,none,"for free",1,"high qualif/self emp/mgmt",1,yes,yes,bad
0<=X<200,48,"no credits/all paid",business,14421,<100,1<=X<4,2,"male single",none,2,car,young,none,own,1,skilled,1,yes,yes,bad
"no checking",36,"existing paid",education,1819,<100,1<=X<4,4,"male single",none,4,"no known property",old,stores,"for free",1,skilled,1,yes,yes,bad
"no checking",36,"existing paid","used car",8133,<100,1<=X<4,1,"female div/dep/mar",none,2,"life insurance",old,bank,own,1,skilled,1,none,yes,good
"no checking",7,"critical/other existing credit",radio/tv,730,"no known savings",>=7,4,"male single",none,2,"life insurance",old,none,rent,2,"unskilled resident",1,yes,yes,good
0<=X<200,42,"critical/other existing credit",business,5954,<100,4<=X<7,2,"female div/dep/mar",none,1,"real estate",old,bank,own,2,"unskilled resident",1,none,yes,good
<0,36,"existing paid",education,1977,"no known savings",>=7,4,"male single",none,4,"no known property",old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,bad
<0,42,"existing paid",radio/tv,3965,<100,<1,4,"male single",none,3,car,old,none,own,1,skilled,1,none,yes,bad
0<=X<200,11,"delayed previously",radio/tv,4771,<100,4<=X<7,2,"male single",none,4,"life insurance",old,none,own,1,skilled,1,none,yes,good
0<=X<200,30,"existing paid",furniture/equipment,3832,<100,<1,2,"male mar/wid",none,1,"life insurance",young,none,own,1,skilled,1,none,yes,good
"no checking",24,"existing paid",radio/tv,5943,"no known savings",<1,1,"female div/dep/mar",none,1,car,old,none,own,2,skilled,1,yes,yes,bad
"no checking",15,"existing paid",radio/tv,1213,500<=X<1000,>=7,4,"male single",none,3,"life insurance",old,stores,own,1,skilled,1,yes,yes,good
<0,10,"existing paid",radio/tv,2315,<100,>=7,3,"male single",none,4,"real estate",old,none,own,1,"unskilled resident",1,none,yes,good
"no checking",12,"critical/other existing credit",business,1412,<100,1<=X<4,4,"female div/dep/mar",guarantor,2,"real estate",old,none,own,2,"high qualif/self emp/mgmt",1,yes,yes,good
0<=X<200,36,"existing paid",education,12612,100<=X<500,1<=X<4,1,"male single",none,4,"no known property",old,none,"for free",1,skilled,2,yes,yes,bad
<0,18,"existing paid","new car",2249,100<=X<500,4<=X<7,4,"male single",none,3,car,old,none,own,1,"high qualif/self emp/mgmt",2,yes,yes,good
<0,12,"no credits/all paid",repairs,1108,<100,4<=X<7,4,"male single",none,3,"real estate",old,none,own,2,skilled,1,none,yes,bad
"no checking",12,"critical/other existing credit",radio/tv,618,<100,>=7,4,"male single",none,4,"real estate",old,none,own,1,skilled,1,none,yes,good
"no checking",12,"critical/other existing credit",radio/tv,797,"no known savings",>=7,4,"female div/dep/mar",none,3,"life insurance",old,bank,own,1,"unskilled resident",2,none,yes,bad
>=200,24,"critical/other existing credit",furniture/equipment,3617,"no known savings",>=7,4,"male single","co applicant",4,"no known property",young,none,rent,2,skilled,1,none,yes,good
0<=X<200,12,"existing paid","new car",1318,>=1000,>=7,4,"male single",none,4,"real estate",old,none,own,1,skilled,1,yes,yes,good
"no checking",12,"critical/other existing credit",education,2012,"no known savings",4<=X<7,4,"female div/dep/mar",none,2,car,old,none,own,1,skilled,1,none,yes,good
0<=X<200,18,"existing paid",business,2622,100<=X<500,1<=X<4,4,"male single",none,4,car,old,none,own,1,skilled,1,none,yes,good
0<=X<200,36,"critical/other existing credit",radio/tv,2337,<100,>=7,4,"male single",none,4,"real estate",old,none,own,1,skilled,1,none,yes,good
0<=X<200,20,"delayed previously","used car",7057,"no known savings",4<=X<7,3,"male single",none,4,"life insurance",old,bank,rent,2,"high qualif/self emp/mgmt",2,yes,yes,good
"no checking",24,"existing paid","new car",1469,100<=X<500,>=7,4,"male mar/wid",none,4,"real estate",old,none,rent,1,"unskilled resident",1,none,yes,good
0<=X<200,36,"existing paid",radio/tv,2323,<100,4<=X<7,4,"male single",none,4,car,young,none,rent,1,skilled,1,none,yes,good
0<=X<200,9,"critical/other existing credit",furniture/equipment,1919,<100,4<=X<7,4,"male single",none,3,car,old,none,rent,1,skilled,1,yes,yes,good
"no checking",12,"existing paid","used car",2445,"no known savings",<1,2,"male mar/wid",none,4,car,old,none,rent,1,skilled,1,yes,yes,good
0<=X<200,12,"existing paid","new car",6078,<100,4<=X<7,2,"male single",none,2,car,old,none,own,1,skilled,1,none,yes,good
0<=X<200,6,"delayed previously",business,1449,100<=X<500,>=7,1,"male div/sep",none,2,car,old,bank,own,2,skilled,2,none,yes,good
>=200,15,"existing paid",education,392,<100,<1,4,"female div/dep/mar",none,4,"life insurance",young,none,rent,1,skilled,1,yes,yes,good
0<=X<200,18,"existing paid","new car",6260,<100,4<=X<7,3,"male single",none,3,"real estate",old,none,rent,1,"unskilled resident",1,none,yes,good
<0,12,"existing paid",radio/tv,1680,500<=X<1000,>=7,3,"male mar/wid",none,1,"real estate",old,none,own,1,skilled,1,none,yes,good
<0,42,"existing paid",radio/tv,7174,"no known savings",4<=X<7,4,"female div/dep/mar",none,3,car,old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,bad
<0,33,"critical/other existing credit",furniture/equipment,4281,500<=X<1000,1<=X<4,1,"female div/dep/mar",none,4,car,young,none,own,2,skilled,1,none,yes,bad
0<=X<200,12,"critical/other existing credit","new car",2366,500<=X<1000,4<=X<7,3,"male div/sep",none,3,car,old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,good
<0,21,"existing paid",radio/tv,1835,<100,1<=X<4,3,"female div/dep/mar",none,2,"real estate",young,none,own,2,skilled,1,yes,yes,bad
>=200,10,"critical/other existing credit","new car",781,<100,>=7,4,"male single",none,4,"no known property",old,none,"for free",2,skilled,1,yes,yes,good
0<=X<200,18,"existing paid",furniture/equipment,1924,"no known savings",<1,4,"female div/dep/mar",none,3,"real estate",old,none,rent,1,skilled,1,none,yes,bad
<0,12,"critical/other existing credit","new car",2121,<100,1<=X<4,4,"male single",none,2,"life insurance",old,none,own,2,skilled,1,none,yes,good
<0,12,"existing paid",radio/tv,701,<100,1<=X<4,4,"male mar/wid",none,2,"real estate",old,none,own,1,"unskilled resident",1,none,yes,good
0<=X<200,12,"existing paid",repairs,639,<100,1<=X<4,4,"male single",none,2,car,old,none,own,1,skilled,1,none,yes,bad
0<=X<200,48,"existing paid","new car",8487,"no known savings",4<=X<7,1,"female div/dep/mar",none,2,car,young,none,own,1,skilled,1,none,yes,good
"no checking",15,"existing paid",furniture/equipment,2708,<100,<1,2,"male single",none,3,"life insurance",old,bank,own,2,"unskilled resident",1,none,yes,good
"no checking",18,"existing paid",furniture/equipment,1984,<100,1<=X<4,4,"male single",none,4,"no known property",old,bank,"for free",2,skilled,1,none,yes,good
"no checking",60,"existing paid",radio/tv,10144,100<=X<500,4<=X<7,2,"female div/dep/mar",none,4,"real estate",young,none,own,1,skilled,1,yes,yes,good
"no checking",12,"critical/other existing credit",radio/tv,1240,"no known savings",>=7,4,"female div/dep/mar",none,2,"real estate",old,none,own,2,skilled,1,yes,yes,good
"no checking",27,"delayed previously","used car",8613,>=1000,1<=X<4,2,"male single",none,2,car,old,none,own,2,skilled,1,none,yes,good
0<=X<200,12,"existing paid",radio/tv,766,500<=X<1000,1<=X<4,4,"male single",none,3,"real estate",old,none,own,1,"unskilled resident",1,none,yes,bad
0<=X<200,15,"critical/other existing credit",radio/tv,2728,"no known savings",4<=X<7,4,"male single",guarantor,2,"real estate",old,bank,own,3,skilled,1,yes,yes,good
0<=X<200,36,"existing paid",radio/tv,4795,<100,<1,4,"female div/dep/mar",none,1,"no known property",old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,good
"no checking",21,"critical/other existing credit",furniture/equipment,2288,<100,<1,4,"female div/dep/mar",none,4,"life insurance",young,none,own,1,skilled,1,yes,yes,good
0<=X<200,48,"all paid",business,3566,100<=X<500,4<=X<7,4,"male single",none,2,car,old,none,own,1,skilled,1,none,yes,good
<0,6,"critical/other existing credit","new car",860,<100,>=7,1,"female div/dep/mar",none,4,"no known property",old,none,own,2,skilled,1,yes,yes,good
"no checking",12,"critical/other existing credit","new car",682,100<=X<500,4<=X<7,4,"female div/dep/mar",none,3,car,old,none,own,2,skilled,1,yes,yes,good
<0,36,"critical/other existing credit",furniture/equipment,5371,<100,1<=X<4,3,"male single",guarantor,2,"life insurance",old,none,own,2,skilled,1,none,yes,good
"no checking",18,"critical/other existing credit",radio/tv,1582,>=1000,>=7,4,"male single",none,4,car,old,none,own,2,skilled,1,none,yes,good
"no checking",6,"existing paid",radio/tv,1346,100<=X<500,>=7,2,"male single",none,4,"no known property",old,bank,"for free",1,skilled,2,yes,yes,good
"no checking",10,"existing paid",radio/tv,1924,<100,1<=X<4,1,"male single",none,4,"life insurance",old,none,own,1,skilled,1,yes,no,good
>=200,36,"existing paid",radio/tv,5848,<100,1<=X<4,4,"male single",none,1,car,young,none,own,1,skilled,1,none,yes,good
0<=X<200,24,"critical/other existing credit","used car",7758,>=1000,>=7,2,"female div/dep/mar",none,4,"no known property",old,none,rent,1,skilled,1,none,yes,good
<0,9,"critical/other existing credit",repairs,1288,100<=X<500,>=7,3,"male single",guarantor,4,"real estate",old,none,own,2,skilled,2,none,no,good
<0,12,"all paid",retraining,339,<100,>=7,4,"male mar/wid",none,1,car,old,bank,own,1,"unskilled resident",1,none,yes,good
"no checking",6,"critical/other existing credit",radio/tv,1898,"no known savings",1<=X<4,1,"male single",none,2,"real estate",old,none,own,2,"unskilled resident",2,none,yes,good
"no checking",24,"critical/other existing credit",radio/tv,2872,100<=X<500,>=7,3,"male single",none,4,"real estate",old,none,own,1,skilled,2,yes,yes,good
"no checking",18,"critical/other existing credit","new car",1055,<100,<1,4,"female div/dep/mar",none,1,"life insurance",old,none,own,2,skilled,1,none,yes,good
"no checking",15,"existing paid","domestic appliance",1262,500<=X<1000,4<=X<7,4,"male single",none,3,"life insurance",old,none,own,2,skilled,1,yes,yes,good
0<=X<200,10,"existing paid","new car",7308,<100,unemployed,2,"male single",none,4,"no known property",old,bank,"for free",1,"high qualif/self emp/mgmt",1,yes,yes,good
"no checking",36,"existing paid","new car",909,500<=X<1000,>=7,4,"male single",none,4,"life insurance",old,none,own,1,skilled,1,none,yes,good
<0,18,"existing paid",furniture/equipment,1131,<100,unemployed,4,"female div/dep/mar",none,2,car,old,none,own,1,skilled,1,none,yes,bad
0<=X<200,11,"existing paid",furniture/equipment,1577,>=1000,<1,4,"female div/dep/mar",none,1,"real estate",young,none,own,1,skilled,1,none,yes,good
0<=X<200,24,"delayed previously",furniture/equipment,2064,<100,unemployed,3,"female div/dep/mar",none,2,"life insurance",old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,bad
"no checking",30,"all paid","used car",7485,"no known savings",unemployed,4,"female div/dep/mar",none,1,"real estate",old,bank,own,1,"high qualif/self emp/mgmt",1,yes,yes,bad
<0,12,"existing paid",furniture/equipment,2577,<100,1<=X<4,2,"male div/sep",none,1,car,old,none,own,1,skilled,1,none,yes,good
"no checking",12,"existing paid",radio/tv,1963,<100,4<=X<7,4,"male single",none,2,car,old,none,rent,2,"high qualif/self emp/mgmt",2,yes,yes,good
0<=X<200,18,"critical/other existing credit","new car",884,<100,>=7,4,"male single",none,4,car,old,bank,own,1,skilled,2,yes,yes,bad
0<=X<200,16,"critical/other existing credit","new car",1175,<100,unemployed,2,"male single",none,3,car,old,none,"for free",3,"unemp/unskilled non res",1,yes,yes,good
<0,12,"existing paid",radio/tv,674,100<=X<500,4<=X<7,4,"male mar/wid",none,1,"life insurance",young,none,own,1,skilled,1,none,yes,bad
0<=X<200,18,"no credits/all paid",furniture/equipment,3244,<100,1<=X<4,1,"female div/dep/mar",none,4,car,old,bank,own,2,skilled,1,yes,yes,good
"no checking",24,"existing paid",business,4591,>=1000,1<=X<4,2,"male single",none,3,"life insurance",old,none,own,3,"high qualif/self emp/mgmt",1,yes,yes,bad
0<=X<200,27,"existing paid",business,3915,<100,1<=X<4,4,"male single",none,2,car,old,none,own,1,skilled,2,yes,yes,bad
"no checking",6,"existing paid",radio/tv,2108,<100,4<=X<7,2,"male mar/wid",none,2,"real estate",old,none,rent,1,skilled,1,none,yes,good
0<=X<200,45,"existing paid",radio/tv,3031,100<=X<500,1<=X<4,4,"male single",guarantor,4,"life insurance",young,none,rent,1,skilled,1,none,yes,bad
0<=X<200,9,"critical/other existing credit",education,1501,<100,>=7,2,"female div/dep/mar",none,3,car,old,none,own,2,"high qualif/self emp/mgmt",1,yes,yes,bad
"no checking",6,"critical/other existing credit",radio/tv,1382,<100,1<=X<4,1,"female div/dep/mar",none,1,car,old,none,own,2,skilled,1,yes,yes,good
<0,12,"existing paid","new car",1168,<100,1<=X<4,4,"male mar/wid",none,3,"real estate",old,none,own,1,"unskilled resident",1,none,yes,good
"no checking",27,"delayed previously",business,5117,<100,4<=X<7,3,"male single",none,4,car,old,none,own,2,skilled,1,none,yes,good
<0,12,"existing paid",retraining,902,<100,4<=X<7,4,"male mar/wid",none,4,"life insurance",young,none,rent,1,skilled,1,none,yes,bad
"no checking",12,"critical/other existing credit","new car",1495,<100,>=7,4,"male single",none,1,"real estate",old,none,own,2,"unskilled resident",2,none,yes,good
<0,30,"critical/other existing credit","used car",10623,<100,>=7,3,"male single",none,4,"no known property",old,none,"for free",3,"high qualif/self emp/mgmt",2,yes,yes,good
"no checking",12,"critical/other existing credit",furniture/equipment,1935,<100,>=7,4,"male single",none,4,"real estate",old,none,own,3,skilled,1,yes,yes,good
"no checking",12,"existing paid","used car",1413,>=1000,4<=X<7,3,"male single",none,2,"life insurance",old,none,own,1,skilled,1,none,no,good
"no checking",9,"critical/other existing credit",radio/tv,3074,"no known savings",1<=X<4,1,"male single",none,2,"real estate",old,none,own,2,skilled,2,none,yes,good
"no checking",36,"existing paid",radio/tv,3835,"no known savings",>=7,2,"female div/dep/mar",none,4,"real estate",old,none,own,1,"unskilled resident",1,yes,yes,good
<0,27,"no credits/all paid",business,5293,<100,unemployed,2,"male single",none,4,"life insurance",old,stores,own,2,skilled,1,yes,yes,bad
>=200,30,"delayed previously",business,1908,<100,>=7,4,"male single",none,4,"real estate",old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,bad
"no checking",36,"critical/other existing credit",radio/tv,3342,"no known savings",>=7,4,"male single",none,2,car,old,none,own,1,skilled,1,yes,yes,good
0<=X<200,6,"critical/other existing credit",retraining,932,"no known savings",4<=X<7,1,"female div/dep/mar",none,3,"life insurance",old,none,own,2,"unskilled resident",1,none,yes,good
<0,18,"no credits/all paid",business,3104,<100,4<=X<7,3,"male single",none,1,"life insurance",old,bank,own,1,skilled,1,yes,yes,good
>=200,36,"existing paid",radio/tv,3913,<100,1<=X<4,2,"male single",none,2,"real estate",young,none,own,1,skilled,1,yes,yes,good
"no checking",10,"existing paid","new car",1364,<100,1<=X<4,2,"female div/dep/mar",none,4,car,old,none,own,1,skilled,1,yes,yes,good
0<=X<200,12,"existing paid",radio/tv,625,<100,<1,4,"male mar/wid",guarantor,1,"real estate",old,bank,own,1,"unskilled resident",1,none,yes,good
<0,12,"existing paid",education,1200,"no known savings",1<=X<4,4,"female div/dep/mar",none,4,"life insurance",young,bank,rent,1,skilled,1,yes,yes,good
"no checking",12,"existing paid",radio/tv,707,<100,1<=X<4,4,"male single",none,2,"real estate",old,bank,own,2,skilled,1,none,yes,good
"no checking",24,"delayed previously",business,2978,"no known savings",1<=X<4,4,"male single",none,4,"real estate",old,none,own,2,skilled,2,yes,yes,good
"no checking",15,"existing paid","used car",4657,<100,1<=X<4,3,"male single",none,2,car,old,none,own,1,skilled,1,yes,yes,good
"no checking",36,"no credits/all paid",repairs,2613,<100,1<=X<4,4,"male single",none,2,car,old,none,own,2,skilled,1,none,yes,good
0<=X<200,48,"existing paid",radio/tv,10961,>=1000,4<=X<7,1,"male single","co applicant",2,"no known property",old,bank,own,2,skilled,1,yes,yes,bad
<0,12,"existing paid",furniture/equipment,7865,<100,>=7,4,"male single",none,4,"no known property",old,none,"for free",1,"high qualif/self emp/mgmt",1,yes,yes,bad
"no checking",9,"existing paid",radio/tv,1478,<100,4<=X<7,4,"male single",none,2,car,young,none,own,1,skilled,1,none,yes,bad
<0,24,"existing paid",furniture/equipment,3149,<100,<1,4,"male single",none,1,"no known property",young,bank,"for free",1,skilled,1,none,yes,good
"no checking",9,"existing paid","new car",2507,500<=X<1000,>=7,2,"male single",none,4,"no known property",old,none,"for free",1,"unskilled resident",1,none,yes,good
"no checking",4,"critical/other existing credit",radio/tv,1544,<100,4<=X<7,2,"male single",none,1,"real estate",old,none,own,3,"unskilled resident",2,none,yes,good
0<=X<200,6,"existing paid","new car",14555,"no known savings",unemployed,1,"male single",none,2,"life insurance",young,none,own,1,"unemp/unskilled non res",1,yes,yes,bad
0<=X<200,21,"existing paid",business,2767,100<=X<500,>=7,4,"male div/sep",none,2,car,old,bank,rent,2,"unskilled resident",1,none,yes,bad
<0,24,"existing paid","new car",915,"no known savings",>=7,4,"female div/dep/mar",none,2,car,old,bank,own,1,skilled,1,none,yes,bad
<0,48,"no credits/all paid","used car",4605,<100,>=7,3,"male single",none,4,"no known property",young,none,"for free",2,skilled,2,none,yes,bad
"no checking",12,"critical/other existing credit",business,1185,<100,1<=X<4,3,"female div/dep/mar",none,2,"real estate",old,none,own,2,skilled,1,none,yes,good
"no checking",12,"all paid",retraining,3447,500<=X<1000,1<=X<4,4,"female div/dep/mar",none,3,"real estate",old,none,own,1,"unskilled resident",2,none,yes,good
"no checking",24,"existing paid",business,1258,<100,4<=X<7,4,"male single",none,1,"real estate",young,none,own,1,skilled,1,yes,yes,good
"no checking",12,"critical/other existing credit",radio/tv,717,<100,>=7,4,"male single",none,4,"real estate",old,none,own,3,skilled,1,none,yes,good
>=200,24,"existing paid",furniture/equipment,1925,<100,1<=X<4,2,"male single",none,2,"real estate",old,none,own,1,skilled,1,none,yes,good
"no checking",18,"existing paid",radio/tv,433,<100,unemployed,3,"female div/dep/mar","co applicant",4,"real estate",young,none,rent,1,skilled,1,none,yes,bad
<0,6,"critical/other existing credit","new car",666,>=1000,4<=X<7,3,"female div/dep/mar",none,4,"real estate",old,none,own,2,"unskilled resident",1,yes,yes,good
0<=X<200,30,"existing paid","new car",2150,<100,1<=X<4,4,"female div/dep/mar",guarantor,2,"no known property",young,bank,own,1,skilled,1,none,yes,bad
"no checking",24,"delayed previously",furniture/equipment,4151,100<=X<500,1<=X<4,2,"male single",none,3,"life insurance",old,none,own,2,skilled,1,none,yes,good
0<=X<200,9,"existing paid",furniture/equipment,2030,"no known savings",4<=X<7,2,"male single",none,1,car,young,none,own,1,skilled,1,yes,yes,good
"no checking",24,"critical/other existing credit",radio/tv,2684,<100,1<=X<4,4,"male single",none,2,"real estate",old,none,own,2,"unskilled resident",1,none,yes,good
<0,12,"all paid",radio/tv,2149,<100,1<=X<4,4,"male div/sep",none,1,"no known property",old,none,"for free",1,skilled,1,none,yes,bad
"no checking",15,"existing paid","used car",3812,100<=X<500,<1,1,"female div/dep/mar",none,4,car,young,none,own,1,skilled,1,yes,yes,good
"no checking",11,"critical/other existing credit",radio/tv,1154,100<=X<500,unemployed,4,"female div/dep/mar",none,4,"real estate",old,none,own,3,"unskilled resident",1,none,yes,good
<0,18,"critical/other existing credit","new car",5302,<100,>=7,2,"male single",none,4,"no known property",old,none,"for free",3,"high qualif/self emp/mgmt",1,yes,yes,good
"no checking",12,"critical/other existing credit",education,2748,<100,>=7,2,"female div/dep/mar",none,4,"no known property",old,bank,"for free",3,"unskilled resident",1,none,yes,good
"no checking",10,"critical/other existing credit","new car",1231,<100,>=7,3,"male single",none,4,"real estate",old,none,own,2,"unskilled resident",2,none,no,good
0<=X<200,15,"existing paid",radio/tv,802,<100,>=7,4,"male single",none,3,car,old,none,own,1,skilled,2,none,yes,bad
"no checking",36,"critical/other existing credit",business,6304,"no known savings",>=7,4,"male single",none,4,"real estate",old,none,own,2,skilled,1,none,yes,good
