Feature_A_(i),Feature_A_(i)-noFeature_A_(i),Feature_B_(2i),Feature_B_(2i)-noFeature_A_(i),Feature_C_(-i),Feature_C_(-i)-noFeature_A_(i),Constant_Feature,Constant_Feature-noFeature_A_(i),Random_Feature,Random_Feature-noFeature_A_(i),Outcome,Outcome-noFeature_A_(i)
337,4787,674,5960,-337,-2981,1,1,0.54553276576695,0.5603876811308924,A,A
338,4787,676,5960,-338,-2981,1,1,0.9469766201838017,0.9358892092224953,A,A
339,4787,678,5960,-339,-2981,1,1,0.7743384898720793,0.7752105467541478,A,A
341,4787,682,5960,-341,-2981,1,1,0.4676774791530549,0.4863973973956013,A,A
342,4787,684,5960,-342,-2981,1,1,0.38318136964683136,0.3994271172644791,A,A
343,4787,686,5972,-343,-2986,1,1,0.5590817017998385,0.5738128596868537,A,A
344,4787,688,5972,-344,-2986,1,1,0.44629035622831603,0.4686479736942557,A,A
345,4787,690,5972,-345,-2986,1,1,0.6480063183173667,0.6567225731105883,A,A
346,4787,692,5972,-346,-2986,1,1,0.815148612887458,0.836604570279811,A,A
349,4787,698,5982,-349,-2992,1,1,0.7263800352756986,0.7248533491587095,A,A
352,4787,704,5982,-352,-2992,1,1,0.40752477742041615,0.43084017934406293,A,A
353,4787,706,5982,-353,-2992,1,1,0.10496952066073251,0.14001508031831478,A,A
354,4787,708,5994,-354,-2998,1,1,0.5420479648617993,0.5603876811308924,A,A
355,4787,710,5994,-355,-2998,1,1,0.03444345273883331,0.046636926221635844,A,A
356,4787,712,5994,-356,-2998,1,1,0.5019387836693746,0.5184576116122209,A,A
358,4787,716,5994,-358,-2998,1,1,0.1606913529373336,0.17573684250755928,A,A
361,4787,722,6006,-361,-3004,1,1,0.7248533491587095,0.7248533491587095,A,A
362,4787,724,6006,-362,-3004,1,1,0.4449149795727033,0.4686479736942557,A,A
363,4787,726,6006,-363,-3004,1,1,0.7439371159842326,0.74048802736636,A,A
364,4787,728,6006,-364,-3004,1,1,0.32026569031615437,0.33085674641798635,A,A
365,4787,730,6006,-365,-3004,1,1,0.3694185732602101,0.3838453928986345,A,A
366,4787,732,6018,-366,-3010,1,1,0.7883088102180945,0.7978402972390728,A,A
367,4787,734,6018,-367,-3010,1,1,0.009431753548861166,0.009431753548861166,A,A
368,4787,736,6018,-368,-3010,1,1,0.2569330702828112,0.2705870793149804,A,A
370,4787,740,6018,-370,-3010,1,1,0.9240869149846782,0.897897211542344,A,A
371,4787,742,6018,-371,-3010,1,1,0.2989157114516917,0.30887378737929305,A,A
373,4787,746,6030,-373,-3015,1,1,0.6130334048993574,0.6185616736968093,A,A
374,4787,748,6030,-374,-3015,1,1,0.27561248698508045,0.29312155847436416,A,A
375,4787,750,6030,-375,-3015,1,1,0.2709332579101378,0.2705870793149804,A,A
376,4787,752,6030,-376,-3015,1,1,0.7325924887022567,0.74048802736636,A,A
377,4787,754,6040,-377,-3021,1,1,0.678657414669274,0.6865687000926515,A,A
378,4787,756,6040,-378,-3021,1,1,0.7890655754445042,0.7978402972390728,A,A
379,4787,758,6040,-379,-3021,1,1,0.9768988801162586,0.9708335991200716,A,A
380,4787,760,6040,-380,-3021,1,1,0.9472071687964871,0.9358892092224953,A,A
382,4787,764,6040,-382,-3021,1,1,0.8207048737119446,0.836604570279811,A,A
383,4787,766,6052,-383,-3027,1,1,0.5903819938969364,0.6185616736968093,A,A
384,4787,768,6052,-384,-3027,1,1,0.7634237045485027,0.7650504588350444,A,A
385,4787,770,6052,-385,-3027,1,1,0.37516038885827363,0.3994271172644791,A,A
386,4787,772,6052,-386,-3027,1,1,0.834891335025827,0.8483288367488273,A,A
388,4787,776,6052,-388,-3027,1,1,0.8535755010247054,0.8659373859054671,A,A
389,4787,778,6064,-389,-3033,1,1,0.5018566589612492,0.5184576116122209,A,A
390,4787,780,6064,-390,-3033,1,1,0.8419524347923883,0.8659373859054671,A,A
391,4787,782,6064,-391,-3033,1,1,0.8299202942173313,0.8483288367488273,A,A
395,4787,790,6076,-395,-3038,1,1,0.6267238074438565,0.6403485791625139,A,A
396,4787,792,6076,-396,-3038,1,1,0.16492553218706107,0.18991284810616926,A,A
397,4787,794,6076,-397,-3038,1,1,0.22107135132537903,0.2556376638625464,A,A
400,4787,800,6086,-400,-3044,1,1,0.7185972171257222,0.7124266951977283,A,A
402,4787,804,6086,-402,-3044,1,1,0.5074926719327431,0.5184576116122209,A,A
403,4787,806,6086,-403,-3044,1,1,0.023153673121733442,0.02540337192260267,A,A
404,4787,808,6086,-404,-3044,1,1,0.8037410046819706,0.81093086149687,A,A
406,4787,812,6098,-406,-3050,1,1,0.03982515835776257,0.046636926221635844,A,A
407,4787,814,6098,-407,-3050,1,1,0.431160810420833,0.4686479736942557,A,A
408,4787,816,6098,-408,-3050,1,1,0.9268482330062446,0.9155804834289545,A,A
409,4787,818,6098,-409,-3050,1,1,0.4778728315800652,0.5057843245177359,A,A
410,4787,820,6098,-410,-3050,1,1,0.3485024391686822,0.36326959483172827,A,A
413,4787,826,6110,-413,-3056,1,1,0.17540967161125165,0.20479149534265284,A,A
416,4787,832,6110,-416,-3056,1,1,0.1528358092022869,0.17573684250755928,A,A
417,4787,834,6110,-417,-3056,1,1,0.952849313046448,0.9556519694980462,A,A
418,4787,836,6122,-418,-3062,1,1,0.6426489537716861,0.6567225731105883,A,A
419,4787,838,6122,-419,-3062,1,1,0.9036166532384952,0.897897211542344,A,A
421,4787,842,6122,-421,-3062,1,1,0.3100316077774148,0.33085674641798635,A,A
422,4787,844,6122,-422,-3062,1,1,0.45421835131292554,0.4863973973956013,A,A
423,4787,846,6122,-423,-3062,1,1,0.5346249499903778,0.5437811418999469,A,A
424,4787,848,6134,-424,-3067,1,1,0.20761927554937865,0.23139716590926385,A,A
425,4787,850,6134,-425,-3067,1,1,0.5561610000270887,0.5603876811308924,A,A
426,4787,852,6134,-426,-3067,1,1,0.9851583240203498,0.9867277963524416,A,A
428,4787,856,6134,-428,-3067,1,1,0.7502392296509925,0.7650504588350444,A,A
429,4787,858,6144,-429,-3073,1,1,0.9552656214467534,0.9556519694980462,A,A
430,4787,860,6144,-430,-3073,1,1,0.3503350747657311,0.36326959483172827,A,A
432,4787,864,6144,-432,-3073,1,1,0.009732910446077048,0.009431753548861166,A,A
434,4787,868,6144,-434,-3073,1,1,0.8136430768106707,0.836604570279811,A,A
435,4787,870,6156,-435,-3079,1,1,0.25992037883502095,0.2705870793149804,A,A
440,4787,880,6156,-440,-3079,1,1,0.8062564737325466,0.81093086149687,A,A
441,4787,882,6168,-441,-3085,1,1,0.4250216874909256,0.45443658440763757,A,A
443,4787,886,6168,-443,-3085,1,1,0.7840590074854497,0.7978402972390728,A,A
446,4787,892,6168,-446,-3085,1,1,0.31679581611559915,0.33085674641798635,A,A
447,4787,894,6180,-447,-3091,1,1,0.3900941042163707,0.41436990175995514,A,A
448,4787,896,6180,-448,-3091,1,1,0.3833812594048591,0.3994271172644791,A,A
449,4787,898,6180,-449,-3091,1,1,0.33145150487008557,0.34394625120281785,A,A
451,4787,902,6180,-451,-3091,1,1,0.6900448584468925,0.7124266951977283,A,A
452,4787,904,6180,-452,-3091,1,1,0.9512721208523415,0.9556519694980462,A,A
453,4787,906,6192,-453,-3096,1,1,0.39516903429714223,0.41436990175995514,A,A
454,4787,908,6192,-454,-3096,1,1,0.0389263465584716,0.046636926221635844,A,A
455,4787,910,6192,-455,-3096,1,1,0.07106882344906051,0.09584927697217083,A,A
456,4787,912,6192,-456,-3096,1,1,0.2996797103160549,0.30887378737929305,A,A
457,4787,914,6192,-457,-3096,1,1,0.8249614345925032,0.8483288367488273,A,A
458,4787,916,6202,-458,-3102,1,1,0.1899474468909772,0.2200783515824032,A,A
459,4787,918,6202,-459,-3102,1,1,0.07771418984655731,0.11766008071769851,A,A
461,4787,922,6202,-461,-3102,1,1,0.4499290343572615,0.4686479736942557,A,A
462,4787,924,6202,-462,-3102,1,1,0.924962341235342,0.9155804834289545,A,A
463,4787,926,6202,-463,-3102,1,1,0.0612500986114628,0.08139052448728146,A,A
468,4787,936,6214,-468,-3108,1,1,0.6320419259309551,0.6403485791625139,A,A
469,4787,938,6214,-469,-3108,1,1,0.7205731002761605,0.7248533491587095,A,A
471,4787,942,6226,-471,-3114,1,1,0.5898053222234434,0.6185616736968093,A,A
