sex,sex-norace,age,age-norace,age_cat,age_cat-norace,race,race-norace,juv_fel_count,juv_fel_count-norace,juv_misd_count,juv_misd_count-norace,juv_other_count,juv_other_count-norace,priors_count,priors_count-norace,c_charge_degree,c_charge_degree-norace,c_charge_desc,c_charge_desc-norace,decile_score,decile_score-norace,score_text,score_text-norace
Male,Male,78,47,Greater than 45,Less than 25,Caucasian,African-American,0,0,0,0,0,0,1,5,M,M,Driving Under The Influence,Viol Injunct Domestic Violence,1,1,Low,Low
Male,Male,56,47,Greater than 45,Greater than 45,Caucasian,African-American,0,0,0,0,0,0,0,5,F,F,Possession of Cocaine,Possession of Cocaine,1,1,Low,Low
Male,Male,24,29,Less than 25,Less than 25,Other,African-American,0,0,0,0,0,0,0,5,F,M,Burglary Unoccupied Dwelling,Battery,2,2,Low,Low
Male,Male,37,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,2,5,M,M,Battery,Battery,9,9,High,High
Male,Male,39,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,0,5,F,F,Possession Of Methamphetamine,Driving While License Revoked,4,4,Low,Low
Male,Male,23,29,Less than 25,Less than 25,African-American,African-American,0,0,0,0,0,0,0,5,F,F,Possession of Cannabis,Possession of Cannabis,3,3,Low,Low
Male,Male,34,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,2,5,M,M,Battery,Battery,2,2,Low,Low
Male,Male,36,29,25 - 45,25 - 45,Other,African-American,0,0,0,0,0,0,2,5,M,M,Battery,Battery,3,3,Low,Low
Male,Male,44,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,4,5,M,M,Battery,Battery,4,4,Low,Low
Male,Male,26,29,25 - 45,Less than 25,African-American,African-American,0,0,0,0,0,0,2,5,F,F,Fleeing Or Attmp Eluding A Leo,arrest case no charge,10,10,High,High
Female,Male,28,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,7,5,F,F,Felony Petit Theft,arrest case no charge,9,9,High,High
Male,Male,54,47,Greater than 45,Greater than 45,African-American,African-American,0,0,0,0,0,0,11,5,F,F,Grand Theft (Motor Vehicle),arrest case no charge,9,9,High,High
Male,Male,52,47,Greater than 45,Greater than 45,Caucasian,African-American,0,0,0,0,0,0,0,5,F,F,Burglary With Assault/battery,arrest case no charge,1,1,Low,Low
Male,Male,52,47,Greater than 45,Greater than 45,African-American,African-American,0,0,0,0,0,0,0,5,F,F,Uttering a Forged Instrument,arrest case no charge,4,4,Low,Low
Male,Male,22,29,Less than 25,Less than 25,African-American,African-American,0,0,0,0,0,0,0,5,F,F,Pos Cannabis W/Intent Sel/Del,arrest case no charge,4,4,Low,Low
Male,Male,32,29,25 - 45,25 - 45,African-American,African-American,0,0,1,0,0,0,14,5,F,F,Aggravated Battery / Pregnant,Battery,9,9,High,High
Male,Male,44,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,8,5,M,M,Battery,Battery,5,5,Medium,Medium
Female,Female,31,29,25 - 45,25 - 45,Hispanic,African-American,0,0,0,0,0,0,0,5,M,F,Battery,Battery,2,2,Low,Low
Male,Male,39,47,25 - 45,25 - 45,Other,African-American,0,0,0,0,0,0,0,5,F,F,Throw In Occupied Dwell,Grand Theft in the 3rd Degree,1,1,Low,Low
Female,Male,23,29,Less than 25,Less than 25,African-American,African-American,0,0,0,0,0,0,0,5,F,F,Carrying Concealed Firearm,Carrying Concealed Firearm,4,4,Low,Low
Male,Male,22,29,Less than 25,Less than 25,African-American,African-American,0,0,1,0,1,0,3,5,M,M,Battery,Battery,10,10,High,High
Female,Female,22,29,Less than 25,Less than 25,Caucasian,African-American,0,0,0,0,0,0,1,5,F,F,Pos Cannabis W/Intent Sel/Del,Pos Cannabis W/Intent Sel/Del,3,3,Low,Low
Male,Male,52,47,Greater than 45,Greater than 45,African-American,African-American,0,0,0,0,0,0,3,5,F,F,Possession of Cocaine,Battery,6,6,Medium,Medium
Male,Male,43,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,0,5,F,F,Felony Battery (Dom Strang),Felony Battery (Dom Strang),1,1,Low,Low
Male,Male,46,29,Greater than 45,Greater than 45,Caucasian,African-American,0,0,0,0,0,0,3,5,F,F,arrest case no charge,arrest case no charge,4,4,Low,Low
Male,Male,38,29,25 - 45,25 - 45,Hispanic,African-American,0,0,0,0,0,0,3,5,F,F,Crim Use of Personal ID Info,arrest case no charge,1,1,Low,Low
Male,Male,39,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,6,5,F,F,Aggravated Battery / Pregnant,Pos Cannabis W/Intent Sel/Del,3,3,Low,Low
Male,Male,37,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,5,5,F,F,Battery on Law Enforc Officer,Felony Battery (Dom Strang),3,3,Low,Low
Male,Male,23,29,Less than 25,Less than 25,Hispanic,African-American,0,0,0,0,0,0,0,5,F,F,Burglary Conveyance Unoccup,Felony Battery (Dom Strang),3,3,Low,Low
Female,Female,51,47,Greater than 45,Greater than 45,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,Battery on Law Enforc Officer,Battery,1,1,Low,Low
Male,Male,56,47,Greater than 45,Greater than 45,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,Battery On Parking Enfor Speci,Driving While License Revoked,1,1,Low,Low
Male,Male,29,29,25 - 45,Less than 25,African-American,African-American,0,0,0,0,0,0,7,5,F,F,arrest case no charge,arrest case no charge,9,9,High,High
Male,Male,53,47,Greater than 45,Greater than 45,Caucasian,African-American,0,0,0,0,0,0,36,5,F,F,Corrupt Public Servant,Grand Theft in the 3rd Degree,6,6,Medium,Medium
Male,Male,28,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,2,5,M,M,Battery,Battery,3,3,Low,Low
Male,Male,29,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,0,5,F,F,Aggravated Assault W/Dead Weap,arrest case no charge,1,1,Low,Low
Male,Male,27,29,25 - 45,25 - 45,Hispanic,African-American,0,0,0,0,0,0,0,5,M,M,Battery,Battery,8,8,High,High
Male,Male,39,47,25 - 45,25 - 45,Other,African-American,0,0,0,0,0,0,0,5,M,M,Battery,Battery,1,1,Low,Low
Female,Male,21,29,Less than 25,Less than 25,Caucasian,African-American,0,0,0,0,2,0,0,5,F,F,Possession of Cocaine,arrest case no charge,6,6,Medium,Medium
Male,Male,69,47,Greater than 45,Less than 25,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,Aggravated Assault W/dead Weap,Grand Theft in the 3rd Degree,1,1,Low,Low
Male,Male,26,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,1,0,6,5,M,M,Battery,Battery,10,10,High,High
Male,Male,22,29,Less than 25,Less than 25,Caucasian,African-American,0,0,0,0,0,0,0,5,F,F,Possession of Cocaine,Possession of Cocaine,4,4,Low,Low
Male,Male,29,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,1,0,2,5,M,M,Battery,Battery,4,4,Low,Low
Male,Male,21,29,Less than 25,Less than 25,African-American,African-American,0,0,1,0,0,0,1,5,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,3,3,Low,Low
Male,Male,21,29,Less than 25,25 - 45,African-American,African-American,0,0,0,0,0,0,4,5,F,F,arrest case no charge,arrest case no charge,9,9,High,High
Male,Male,21,29,Less than 25,Less than 25,African-American,African-American,0,0,0,0,0,0,0,5,F,M,Burglary Structure Unoccup,Grand Theft in the 3rd Degree,5,5,Medium,Medium
Male,Male,25,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,7,5,F,M,Tamper With Witness/Victim/CI,Tamper With Witness/Victim/CI,8,8,High,High
Female,Male,53,47,Greater than 45,Greater than 45,Caucasian,African-American,0,0,0,0,0,0,1,5,M,M,Battery,Battery,1,1,Low,Low
Male,Male,22,29,Less than 25,Less than 25,African-American,African-American,0,0,0,0,0,0,4,5,F,M,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,9,9,High,High
Male,Male,29,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,7,5,F,M,Possession of Cocaine,Battery,4,4,Low,Low
Male,Male,48,47,Greater than 45,25 - 45,Caucasian,African-American,1,0,0,0,0,0,23,5,F,F,Felony Petit Theft,Battery,8,8,High,High
Female,Female,52,47,Greater than 45,Greater than 45,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,Battery,Battery,1,1,Low,Low
Male,Male,28,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,5,5,F,F,arrest case no charge,arrest case no charge,9,9,High,High
Male,Male,33,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,3,5,M,M,Battery,Battery,3,3,Low,Low
Male,Male,25,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,0,5,F,F,Resist Officer w/Violence,arrest case no charge,2,2,Low,Low
Male,Male,27,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,9,5,F,F,Aggravated Battery / Pregnant,Battery,8,8,High,High
Male,Male,60,47,Greater than 45,Greater than 45,Other,African-American,0,0,0,0,0,0,4,5,F,F,arrest case no charge,arrest case no charge,1,1,Low,Low
Male,Male,23,29,Less than 25,Less than 25,Hispanic,African-American,0,0,0,0,0,0,1,5,M,M,Exposes Culpable Negligence,Viol Injunct Domestic Violence,3,3,Low,Low
Female,Female,39,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,Disorderly Intoxication,arrest case no charge,6,6,Medium,Medium
Male,Male,56,47,Greater than 45,Greater than 45,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,Battery,Battery,1,1,Low,Low
Male,Male,25,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,Driving Under The Influence,Grand Theft in the 3rd Degree,2,2,Low,Low
Male,Male,28,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,8,5,F,F,Uttering a Forged Instrument,Driving While License Revoked,6,6,Medium,Medium
Male,Male,22,29,Less than 25,Greater than 45,African-American,African-American,0,0,0,0,0,0,3,5,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,7,7,Medium,Medium
Male,Male,26,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,3,5,F,F,Burglary Unoccupied Dwelling,DUI Level 0.15 Or Minor In Veh,4,4,Low,Low
Male,Male,24,29,Less than 25,Less than 25,Caucasian,African-American,0,0,1,0,1,0,3,5,F,F,"Poss3,4 Methylenedioxymethcath","Poss3,4 Methylenedioxymethcath",8,8,High,High
Male,Male,33,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,0,5,F,F,Aggravated Battery / Pregnant,Battery,1,1,Low,Low
Female,Female,24,29,Less than 25,Less than 25,African-American,African-American,0,0,0,0,0,0,3,5,F,F,Grand Theft in the 3rd Degree,arrest case no charge,10,10,High,High
Female,Female,50,47,Greater than 45,Greater than 45,African-American,African-American,0,0,0,0,0,0,3,5,F,M,Aggravated Assault W/Dead Weap,Battery,2,2,Low,Low
Male,Male,38,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,5,5,F,F,Possession of Cannabis,Possession of Cannabis,3,3,Low,Low
Male,Male,26,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,1,5,M,M,Battery,Battery,6,6,Medium,Medium
Male,Male,29,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,3,5,F,F,Possession of Ethylone,Uttering a Forged Instrument,5,5,Medium,Medium
Male,Male,52,47,Greater than 45,Less than 25,Caucasian,African-American,0,0,0,0,0,0,6,5,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,5,5,Medium,Medium
Male,Male,55,47,Greater than 45,Greater than 45,African-American,African-American,0,0,0,0,0,0,5,5,F,F,Felony Petit Theft,Felony Petit Theft,3,3,Low,Low
Male,Male,26,29,25 - 45,25 - 45,African-American,African-American,1,0,1,0,0,0,10,5,F,M,Aggravated Battery,Battery,9,9,High,High
Male,Male,24,29,Less than 25,Less than 25,Hispanic,African-American,0,0,0,0,0,0,0,5,F,F,"Poss 3,4 MDMA (Ecstasy)",Battery,10,10,High,High
Male,Male,37,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,3,5,F,F,Possession of Cocaine,Possession of Cocaine,2,2,Low,Low
Male,Male,50,47,Greater than 45,Greater than 45,Asian,African-American,0,0,0,0,0,0,5,5,F,F,Driving While License Revoked,arrest case no charge,7,7,Medium,Medium
Male,Male,26,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,1,5,F,F,Cash Item w/Intent to Defraud,Battery,2,2,Low,Low
Female,Male,30,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,Driving Under The Influence,arrest case no charge,2,2,Low,Low
Male,Male,54,47,Greater than 45,Greater than 45,African-American,African-American,0,0,0,0,0,0,0,5,M,M,Battery,Battery,1,1,Low,Low
Male,Male,27,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,1,5,M,M,Opert With Susp DL 2nd Offens,Grand Theft in the 3rd Degree,3,3,Low,Low
Male,Male,66,47,Greater than 45,Greater than 45,African-American,African-American,0,0,0,0,0,0,33,5,F,F,Crimin Mischief Damage $1000+,Possession of Cannabis,6,6,Medium,Medium
Male,Male,48,47,Greater than 45,Greater than 45,Other,African-American,0,0,0,0,0,0,12,5,F,F,Aggravated Assault w/Firearm,Grand Theft in the 3rd Degree,5,5,Medium,Medium
Male,Male,28,29,25 - 45,25 - 45,Other,African-American,0,0,0,0,0,0,2,5,M,M,Battery,Battery,1,1,Low,Low
Female,Female,34,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,6,5,F,F,Burglary Conveyance Unoccup,DUI Level 0.15 Or Minor In Veh,4,4,Low,Low
Male,Male,24,29,Less than 25,Less than 25,Caucasian,African-American,0,0,0,0,0,0,0,5,F,F,Possession of Cocaine,arrest case no charge,2,2,Low,Low
Male,Male,48,47,Greater than 45,Greater than 45,Caucasian,African-American,0,0,0,0,0,0,1,5,F,F,Agg Battery Grt/Bod/Harm,Agg Battery Grt/Bod/Harm,7,7,Medium,Medium
Male,Male,52,47,Greater than 45,Greater than 45,African-American,African-American,0,0,0,0,0,0,4,5,M,M,Fail Register Vehicle,Felony Battery (Dom Strang),5,5,Medium,Medium
Male,Male,24,29,Less than 25,Less than 25,Caucasian,African-American,0,0,0,0,0,0,0,5,F,F,Agg Battery Grt/Bod/Harm,Agg Battery Grt/Bod/Harm,2,2,Low,Low
Male,Male,27,29,25 - 45,25 - 45,Caucasian,African-American,0,0,1,0,3,1,6,5,F,M,Felony Battery (Dom Strang),Felony Battery (Dom Strang),4,4,Low,Low
Male,Male,25,29,25 - 45,25 - 45,African-American,African-American,0,0,1,0,0,0,6,5,F,F,arrest case no charge,arrest case no charge,4,4,Low,Low
Male,Male,32,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,1,5,F,M,arrest case no charge,arrest case no charge,1,1,Low,Low
Male,Male,32,29,25 - 45,25 - 45,Hispanic,African-American,1,0,1,0,0,0,20,5,F,F,arrest case no charge,arrest case no charge,10,10,High,High
Male,Male,42,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,14,5,F,F,Drivg While Lic Suspd/Revk/Can,Grand Theft in the 3rd Degree,7,7,Medium,Medium
Male,Male,21,29,Less than 25,Less than 25,Hispanic,African-American,0,0,0,0,0,0,0,5,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,6,6,Medium,Medium
Male,Male,27,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,5,5,F,M,Aggrav Battery w/Deadly Weapon,Driving While License Revoked,9,9,High,High
Male,Male,46,29,Greater than 45,Greater than 45,Caucasian,African-American,0,0,0,0,0,0,2,5,F,F,Possession Of Alprazolam,arrest case no charge,6,6,Medium,Medium
Male,Male,44,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,1,5,M,M,Reckless Driving,Battery,3,3,Low,Low
Male,Male,39,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,3,5,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,3,3,Low,Low
Male,Male,21,29,Less than 25,25 - 45,African-American,African-American,0,0,2,0,0,0,3,5,F,F,arrest case no charge,arrest case no charge,5,5,Medium,Medium
Male,Male,28,29,25 - 45,25 - 45,African-American,African-American,8,0,0,0,1,0,16,5,F,F,Aggravated Battery / Pregnant,arrest case no charge,8,8,High,High
Male,Male,23,29,Less than 25,Less than 25,African-American,African-American,0,0,0,0,0,0,1,5,F,F,Agg Fleeing and Eluding,arrest case no charge,5,5,Medium,Medium
Male,Male,25,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,2,5,F,F,arrest case no charge,arrest case no charge,4,4,Low,Low
Male,Male,40,29,25 - 45,25 - 45,Caucasian,African-American,0,0,0,0,0,0,5,5,F,F,Neglect Child / No Bodily Harm,Battery,4,4,Low,Low
Male,Male,24,29,Less than 25,Less than 25,Hispanic,African-American,0,0,0,0,0,0,8,5,F,F,Possession of Cannabis,Possession of Cannabis,8,8,High,High
Male,Male,27,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,5,5,M,M,Criminal Mischief Damage <$200,Grand Theft in the 3rd Degree,4,4,Low,Low
Male,Male,38,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,0,0,15,5,F,F,Drivg While Lic Suspd/Revk/Can,Battery,7,7,Medium,Medium
Female,Female,49,47,Greater than 45,Greater than 45,Caucasian,African-American,0,0,0,0,0,0,2,5,M,M,Driving Under The Influence,arrest case no charge,1,1,Low,Low
Male,Male,50,47,Greater than 45,Greater than 45,Caucasian,African-American,0,0,0,0,0,0,5,5,F,F,Driving While License Revoked,Viol Injunct Domestic Violence,1,1,Low,Low
Male,Male,30,29,25 - 45,25 - 45,African-American,African-American,0,0,0,0,1,0,5,5,F,F,Driving While License Revoked,Carrying Concealed Firearm,6,6,Medium,Medium
Female,Male,22,29,Less than 25,Less than 25,Caucasian,African-American,0,0,0,0,0,0,0,5,M,M,Battery,Battery,3,3,Low,Low
Male,Male,30,29,25 - 45,25 - 45,Other,African-American,0,0,0,0,0,0,0,5,M,M,Battery,Battery,6,6,Medium,Medium
Male,Male,31,29,25 - 45,25 - 45,Hispanic,African-American,0,0,0,0,0,0,0,5,M,M,DUI Property Damage/Injury,Battery,1,1,Low,Low
